           flux         loglam           ivar
              E              E              E
                                             
   1.060467E+01   3.593500E+00   1.268065E-01
   1.190288E+01   3.593600E+00   1.242251E-01
   1.889786E+01   3.593700E+00   1.129791E-01
   7.732397E+00   3.593800E+00   1.264671E-01
   1.137437E+01   3.593900E+00   1.248530E-01
   1.846993E+01   3.594000E+00   1.156949E-01
   1.014036E+01   3.594100E+00   1.323250E-01
   8.082215E+00   3.594200E+00   1.420845E-01
   1.350828E+01   3.594300E+00   1.339756E-01
   1.373005E+01   3.594400E+00   1.333568E-01
   1.028142E+01   3.594500E+00   1.381410E-01
   1.087308E+01   3.594600E+00   1.330391E-01
   1.223680E+01   3.594700E+00   1.240883E-01
   1.111073E+01   3.594800E+00   1.287666E-01
   9.372171E+00   3.594900E+00   1.288381E-01
   1.225998E+01   3.595000E+00   1.278243E-01
   1.693362E+01   3.595100E+00   1.190808E-01
   1.596698E+01   3.595200E+00   1.309940E-01
   9.312282E+00   3.595300E+00   1.459171E-01
   5.082492E+00   3.595400E+00   1.563472E-01
   6.872053E+00   3.595500E+00   1.419050E-01
   9.252054E+00   3.595600E+00   1.372133E-01
   8.854917E+00   3.595700E+00   1.367729E-01
   1.048031E+01   3.595800E+00   1.338516E-01
   1.058758E+01   3.595900E+00   1.361614E-01
   1.135472E+01   3.596000E+00   1.327671E-01
   1.498858E+01   3.596100E+00   1.223045E-01
   1.044362E+01   3.596200E+00   1.258143E-01
   1.031403E+01   3.596300E+00   1.225399E-01
   1.262326E+01   3.596400E+00   1.151258E-01
   1.124745E+01   3.596500E+00   1.128812E-01
   1.227962E+01   3.596600E+00   1.116897E-01
   1.416451E+01   3.596700E+00   1.091763E-01
   1.045932E+01   3.596800E+00   1.134302E-01
   2.218930E+01   3.596900E+00   9.883551E-02
   8.470920E+00   3.597000E+00   7.858276E-02
   5.749887E+00   3.597100E+00   8.098671E-02
   1.404265E+01   3.597200E+00   1.003156E-01
   1.454513E+01   3.597300E+00   1.044293E-01
   6.712770E+00   3.597400E+00   1.165552E-01
   1.076132E+01   3.597500E+00   1.136603E-01
   1.317345E+01   3.597600E+00   1.076771E-01
   6.972569E+00   3.597700E+00   1.119584E-01
   1.415832E+01   3.597800E+00   1.004427E-01
   1.177024E+01   3.597900E+00   9.815576E-02
   1.547850E+01   3.598000E+00   9.302333E-02
   1.234130E+01   3.598100E+00   1.038474E-01
   2.201122E+01   3.598200E+00   8.910186E-02
   1.772825E+01   3.598300E+00   9.431877E-02
   1.317676E+01   3.598400E+00   9.805486E-02
   1.243409E+01   3.598500E+00   1.029640E-01
   1.387332E+01   3.598600E+00   1.091074E-01
   1.776244E+01   3.598700E+00   1.114825E-01
   2.007921E+01   3.598800E+00   1.148122E-01
   1.734916E+01   3.598900E+00   1.157718E-01
   1.228216E+01   3.599000E+00   1.228254E-01
   1.902641E+01   3.599100E+00   1.140884E-01
   1.176973E+01   3.599200E+00   1.253696E-01
   1.321290E+01   3.599300E+00   1.201970E-01
   1.231050E+01   3.599400E+00   1.196379E-01
   1.340254E+01   3.599500E+00   1.199761E-01
   1.576541E+01   3.599600E+00   1.213509E-01
   1.649041E+01   3.599700E+00   1.308449E-01
   1.570534E+01   3.599800E+00   1.424463E-01
   1.281646E+01   3.599900E+00   1.560984E-01
   1.030750E+01   3.600000E+00   1.544279E-01
   1.271407E+01   3.600100E+00   1.465696E-01
   1.556116E+01   3.600200E+00   1.454742E-01
   1.069891E+01   3.600300E+00   1.595596E-01
   1.149513E+01   3.600400E+00   1.629291E-01
   1.217995E+01   3.600500E+00   1.641073E-01
   9.473752E+00   3.600600E+00   1.765830E-01
   1.171773E+01   3.600700E+00   1.680702E-01
   1.422927E+01   3.600800E+00   1.667611E-01
   1.186407E+01   3.600900E+00   1.693711E-01
   1.635369E+01   3.601000E+00   1.561667E-01
   1.253331E+01   3.601100E+00   1.693639E-01
   1.442751E+01   3.601200E+00   1.638480E-01
   1.349984E+01   3.601300E+00   1.710688E-01
   1.015876E+01   3.601400E+00   1.797429E-01
   1.266715E+01   3.601500E+00   1.704507E-01
   9.614690E+00   3.601600E+00   1.768466E-01
   9.734426E+00   3.601700E+00   1.914521E-01
   1.435946E+01   3.601800E+00   1.862317E-01
   1.514074E+01   3.601900E+00   1.805304E-01
   1.597425E+01   3.602000E+00   1.680353E-01
   1.208222E+01   3.602100E+00   1.741903E-01
   7.855379E+00   3.602200E+00   1.841212E-01
   9.820764E+00   3.602300E+00   1.742271E-01
   1.624340E+01   3.602400E+00   1.540815E-01
   8.661911E+00   3.602500E+00   1.262238E-01
   9.239226E+00   3.602600E+00   1.125348E-01
   1.371637E+01   3.602700E+00   1.698086E-01
   1.340615E+01   3.602800E+00   1.598738E-01
   9.940730E+00   3.602900E+00   1.531569E-01
   1.019388E+01   3.603000E+00   1.431804E-01
   1.482515E+01   3.603100E+00   1.349794E-01
   1.032370E+01   3.603200E+00   1.578695E-01
   1.180747E+01   3.603300E+00   1.664797E-01
   7.630623E+00   3.603400E+00   1.814228E-01
   1.189015E+01   3.603500E+00   1.722089E-01
   1.502942E+01   3.603600E+00   1.657950E-01
   1.461046E+01   3.603700E+00   1.648419E-01
   1.314723E+01   3.603800E+00   1.644424E-01
   9.986543E+00   3.603900E+00   1.762972E-01
   1.016596E+01   3.604000E+00   1.868758E-01
   1.453002E+01   3.604100E+00   1.766021E-01
   1.314779E+01   3.604200E+00   1.820596E-01
   1.581696E+01   3.604300E+00   1.663310E-01
   1.402196E+01   3.604400E+00   1.576582E-01
   1.388622E+01   3.604500E+00   1.541155E-01
   9.545403E+00   3.604600E+00   1.659954E-01
   1.001959E+01   3.604700E+00   1.607315E-01
   1.247154E+01   3.604800E+00   1.578378E-01
   1.635786E+01   3.604900E+00   1.582282E-01
   1.726028E+01   3.605000E+00   1.632859E-01
   1.483459E+01   3.605100E+00   1.663188E-01
   1.790237E+01   3.605200E+00   1.574340E-01
   1.844090E+01   3.605300E+00   1.595379E-01
   1.600622E+01   3.605400E+00   1.683435E-01
   1.426956E+01   3.605500E+00   1.745898E-01
   1.260410E+01   3.605600E+00   1.795985E-01
   1.729378E+01   3.605700E+00   1.762912E-01
   1.170854E+01   3.605800E+00   1.907440E-01
   1.300987E+01   3.605900E+00   1.917789E-01
   1.510399E+01   3.606000E+00   1.834776E-01
   1.281336E+01   3.606100E+00   1.818042E-01
   1.369093E+01   3.606200E+00   1.721219E-01
   1.207652E+01   3.606300E+00   1.762672E-01
   1.473862E+01   3.606400E+00   1.685889E-01
   1.204323E+01   3.606500E+00   1.716640E-01
   1.131842E+01   3.606600E+00   1.696505E-01
   1.551569E+01   3.606700E+00   1.581156E-01
